SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
BUCKINGHAM ELEMENTARY,Maryland,MD ,Buckingham Elementary,Worcester County Public Schools,1-Regular school,32-Town: Distant,556,11,59,143,283,–,60,556,–,13.08,42.50
BURLEIGH MANOR MIDDLE SCHOOL,Maryland,MD ,Burleigh Manor Middle School,Howard County Public Schools,1-Regular school,41-Rural: Fringe,808,387,35,94,240,–,50,808,2,15.72,51.40
BURNING TREE ELEMENTARY,Maryland,MD ,Burning Tree Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,473,87,45,38,269,1,33,473,–,14.69,32.20
BURNT MILLS ELEMENTARY,Maryland,MD ,Burnt Mills Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,607,29,160,355,37,–,26,607,–,15.45,39.30
BURTONSVILLE ELEMENTARY,Maryland,MD ,Burtonsville Elementary,Montgomery County Public Schools,1-Regular school,41-Rural: Fringe,627,71,125,375,35,1,18,627,2,15.70,39.94
BUSHY PARK ELEMENTARY,Maryland,MD ,Bushy Park Elementary,Howard County Public Schools,1-Regular school,41-Rural: Fringe,628,89,25,32,449,1,31,628,1,14.92,42.10
BUTTERFLY RIDGE ELEMENTARY,MARYLAND,MD ,Butterfly Ridge Elementary,Frederick County Public Schools,1-Regular school,13-City: Small,627,24,236,181,144,2,39,627,1,13.20,47.50
C. ELIZABETH RIEG REGIONAL CENTER,Maryland,MD ,C. Elizabeth Rieg Regional Center,Prince George's County Public Schools,2-Special education school,21-Suburb: Large,115,3,11,89,12,–,–,115,–,5.00,23.00
C. MILTON WRIGHT HIGH,Maryland,MD ,C. Milton Wright High,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1421,68,75,104,1112,2,57,1421,3,16.10,88.25
C. PAUL BARNHART ELEMENTARY SCHOOL,Maryland,MD ,C. Paul Barnhart Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,735,6,120,514,30,–,65,735,–,17.65,41.64
CABIN JOHN MIDDLE,Maryland,MD ,Cabin John Middle School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1023,344,82,122,415,–,59,1023,1,15.69,65.20
CALLAWAY ELEMENTARY,Maryland,MD ,Callaway Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,315,1,9,298,4,–,3,315,–,14.65,21.50
CALVERT COUNTRY SCHOOL,Maryland,MD ,Calvert Country School,Calvert County Public Schools,2-Special education school,41-Rural: Fringe,36,1,1,4,28,–,2,36,–,3.27,11.00
CALVERT COUNTY ALTERNATIVE SCHOOL,Maryland,MD ,Calvert County Alternative School,Calvert County Public Schools,4-Alternative Education School,41-Rural: Fringe,2,–,1,–,1,–,–,2,–,0.50,4.00
CALVERT ELEMENTARY,Maryland,MD ,Calvert Elementary,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,550,6,25,104,365,–,49,550,1,14.82,37.10
CALVERT ELEMENTARY,Maryland,MD ,Calvert Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,443,–,16,2,417,–,7,443,1,15.99,27.70
CALVERT HIGH,Maryland,MD ,Calvert High,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,1147,18,73,227,742,1,84,1147,2,17.13,66.94
CALVERT MIDDLE,Maryland,MD ,Calvert Middle,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,601,13,37,130,373,–,46,601,2,15.82,38.00
CALVERTON ELEMENTARY,Maryland,MD ,Calverton Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,862,36,502,295,19,2,3,862,5,16.42,52.50
CALVIN M. RODWELL ELEMENTARY/MIDDLE,Maryland,MD ,Calvin M. Rodwell Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,705,1,25,669,4,–,4,705,2,22.38,31.50
CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,Maryland,MD ,Cambridge-South Dorchester High School,Dorchester County Public Schools,1-Regular school,41-Rural: Fringe,816,12,59,370,339,–,36,816,–,14.55,56.10
CAMPFIELD EARLY CHILDHOOD CENTER,Maryland,MD ,Campfield Early Childhood Center,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,412,23,44,281,40,–,24,412,–,17.02,24.20
CANDLEWOOD ELEMENTARY,Maryland,MD ,Candlewood Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,367,65,62,53,162,2,22,367,1,13.75,26.70
CANNON ROAD ELEMENTARY,Maryland,MD ,Cannon Road Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,412,44,192,147,18,–,9,412,2,13.46,30.60
CAPE ST. CLAIRE ELEMENTARY,Maryland,MD ,Cape St. Claire Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,613,12,64,14,478,2,39,613,4,16.52,37.10
CAPITOL HEIGHTS ELEMENTARY,Maryland,MD ,Capitol Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,307,1,40,238,25,1,1,307,1,10.85,28.30
CAPTAIN JAMES E. DALY ELEMENTARY,Maryland,MD ,Captain James E. Daly Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,585,38,290,214,29,–,14,585,–,12.97,45.10
CAPTAIN WALTER FRANCIS DUKE ELEMENTARY,MARYLAND,MD ,Captain Walter Francis Duke Elementary,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,577,16,23,35,458,–,44,577,1,16.68,34.60
CARDEROCK SPRINGS ELEMENTARY,Maryland,MD ,Carderock Springs Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,361,56,34,14,226,1,29,361,1,15.43,23.40
CAREER AND TECHNOLOGY ACADEMY,Maryland,MD ,Career and Technology Academy,Calvert County Public Schools,3-Career and Technical School,41-Rural: Fringe,0,0,0,0,0,0,0,0,0,0.00,21.40
CARL SANDBURG CENTER,Maryland,MD ,Carl Sandburg Center,Montgomery County Public Schools,2-Special education school,13-City: Small,92,7,32,34,17,–,2,92,–,4.92,18.70
CARMODY HILLS ELEMENTARY,Maryland,MD ,Carmody Hills Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,442,–,84,350,7,–,1,442,–,15.84,27.90
CARNEY ELEMENTARY,Maryland,MD ,Carney Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,641,64,28,290,223,1,33,641,2,16.78,38.20
CAROLE HIGHLANDS ELEMENTARY,Maryland,MD ,Carole Highlands Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,487,8,393,74,9,–,2,487,1,12.86,37.86
CAROLINE CAREER & TECHNOLOGY CENTER,Maryland,MD ,Caroline Career & Technology Center,Caroline County Public Schools,3-Career and Technical School,41-Rural: Fringe,0,0,0,0,0,0,0,0,0,0.00,13.00
CARRIE WEEDON EARLY EDUCATION CENTER,MARYLAND,MD ,Carrie Weedon Early Education Center,Anne Arundel County Public Schools,1-Regular school,31-Town: Fringe,58,–,12,6,39,–,1,58,–,10.94,5.30
CARROLL COUNTY CAREER & TECHNOLOGY CENTER,Maryland,MD ,Carroll County Career & Technology Center,Carroll County Public Schools,3-Career and Technical School,23-Suburb: Small,0,0,0,0,0,0,0,0,0,0.00,39.44
CARROLL CREEK MONTESSORI PUBLIC CHARTER,Maryland,MD ,Carroll Creek Montessori Public Charter School,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,313,13,57,38,188,–,16,313,1,22.20,14.10
CARROLL MANOR ELEMENTARY,Maryland,MD ,Carroll Manor Elementary,Baltimore County Public Schools,1-Regular school,41-Rural: Fringe,373,3,16,8,329,–,17,373,–,16.22,23.00
CARROLL MANOR ELEMENTARY,Maryland,MD ,Carroll Manor Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,579,18,60,53,413,2,29,579,4,17.72,32.68
CARROLL SPRINGS SCHOOL,Maryland,MD ,Carroll Springs School,Carroll County Public Schools,2-Special education school,23-Suburb: Small,42,3,2,3,33,–,1,42,–,2.88,14.60
CARROLLTON ELEMENTARY,Maryland,MD ,Carrollton Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,627,13,375,229,8,–,2,627,–,14.84,42.26
CARROLLTOWNE ELEMENTARY,Maryland,MD ,Carrolltowne Elementary,Carroll County Public Schools,1-Regular school,23-Suburb: Small,540,33,31,10,440,1,24,540,1,12.95,41.70
CARTER G WOODSON ELEMENTARY,Maryland,MD ,Carter G Woodson Elementary,Somerset County Public Schools,1-Regular school,32-Town: Distant,550,4,59,168,278,1,36,550,4,13.75,40.00
CARVER VOCATIONAL-TECHNICAL HIGH,Maryland,MD ,Carver Vocational-Technical High,Baltimore City Public Schools,3-Career and Technical School,11-City: Large,876,2,11,853,7,1,1,876,1,16.22,54.00
CASCADE ELEMENTARY,Maryland,MD ,Cascade Elementary,Washingtion County Public Schools,1-Regular school,31-Town: Fringe,164,2,8,2,149,–,3,164,–,20.50,8.00
CASH VALLEY ELEMENTARY,Maryland,MD ,Cash Valley Elementary,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,269,5,5,11,232,–,15,269,1,10.89,24.70
CASHELL ELEMENTARY,Maryland,MD ,Cashell Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,363,28,87,63,149,–,36,363,–,13.02,27.87
CATHERINE T. REED ELEMENTARY,Maryland,MD ,Catherine T. Reed Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,478,13,100,338,19,1,5,478,2,13.83,34.56
CATOCTIN HIGH,Maryland,MD ,Catoctin High,Frederick County Public Schools,1-Regular school,31-Town: Fringe,761,8,29,5,697,–,16,761,6,19.03,40.00
CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,Maryland,MD ,Catonsville Center for Alternative Studies,Baltimore County Public Schools,4-Alternative Education School,21-Suburb: Large,65,–,6,53,3,–,3,65,–,5.00,13.00
CATONSVILLE ELEMENTARY,Maryland,MD ,Catonsville Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,666,113,38,113,338,1,62,666,1,15.52,42.90
CATONSVILLE HIGH,Maryland,MD ,Catonsville High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1830,209,103,468,946,1,98,1830,5,17.18,106.50
CATONSVILLE MIDDLE,Maryland,MD ,Catonsville Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,859,86,52,175,502,4,37,859,3,15.94,53.90
CECIL COUNTY SCHOOL OF TECHNOLOGY,Maryland,MD ,Cecil County School of Technology,Cecil County Public Schools,3-Career and Technical School,21-Suburb: Large,0,0,0,0,0,0,0,0,0,0.00,27.70
CECIL ELEMENTARY,Maryland,MD ,Cecil Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,345,1,5,330,8,1,–,345,–,16.43,21.00
CECIL MANOR ELEMENTARY,Maryland,MD ,Cecil Manor Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,439,1,58,118,221,–,41,439,–,12.61,34.80
CECILTON ELEMENTARY,Maryland,MD ,Cecilton Elementary,Cecil County Public Schools,1-Regular school,42-Rural: Distant,285,–,33,14,223,–,15,285,–,14.47,19.70
CEDAR CHAPEL SPECIAL SCHOOL,Maryland,MD ,Cedar Chapel Special School,Worcester County Public Schools,2-Special education school,42-Rural: Distant,57,2,2,19,32,–,2,57,–,4.75,12.00
CEDAR GROVE ELEMENTARY,Maryland,MD ,Cedar Grove Elementary,Montgomery County Public Schools,1-Regular school,41-Rural: Fringe,613,256,68,90,170,–,26,613,3,17.46,35.10
CEDAR LANE SPECIAL CENTER,Maryland,MD ,Cedar Lane Special Center,Howard County Public Schools,2-Special education school,41-Rural: Fringe,106,21,12,40,29,–,3,106,1,3.62,29.30
CEDARMERE ELEMENTARY,Maryland,MD ,Cedarmere Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,564,40,165,223,105,1,28,564,2,15.80,35.70
CENTENNIAL HIGH,Maryland,MD ,Centennial High,Howard County Public Schools,1-Regular school,41-Rural: Fringe,1590,631,82,142,628,3,100,1590,4,16.22,98.00
CENTENNIAL LANE ELEMENTARY,Maryland,MD ,Centennial Lane Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,734,367,28,37,242,–,50,734,10,14.98,49.00
CENTER FOR CAREER & TECHNICAL EDUCATION,Maryland,MD ,Center for Career & Technical Education,Allegany County Public Schools,3-Career and Technical School,23-Suburb: Small,219,–,2,4,203,–,10,219,–,8.76,25.00
CENTER FOR EDUCATIONAL OPPORTUNITY,Maryland,MD ,Center for Educational Opportunity,Harford County Public Schools,4-Alternative Education School,22-Suburb: Mid-size,69,1,4,33,27,1,3,69,–,4.22,16.34
CENTER OF APPLIED TECHNOLOGY-NORTH,Maryland,MD ,Center of Applied Technology-North,Anne Arundel County Public Schools,3-Career and Technical School,21-Suburb: Large,0,0,0,0,0,0,0,0,0,0.00,27.00
CENTER OF APPLIED TECHNOLOGY-SOUTH,Maryland,MD ,Center of Applied Technology-South,Anne Arundel County Public Schools,3-Career and Technical School,21-Suburb: Large,0,0,0,0,0,0,0,0,0,0.00,21.00
CENTERVILLE ELEMENTARY,Maryland,MD ,Centerville Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,928,191,120,85,466,1,63,928,2,17.40,53.33
CENTRAL ELEMENTARY,Maryland,MD ,Central Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,609,17,59,13,489,–,31,609,–,14.13,43.10
CENTRAL HIGH,Maryland,MD ,Central High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,849,11,255,562,11,1,7,849,2,12.96,65.50
CENTRAL MIDDLE,Maryland,MD ,Central Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1283,44,137,56,988,2,53,1283,3,16.04,80.00
CENTRAL SPECIAL SCHOOL,Maryland,MD ,Central Special School,Anne Arundel County Public Schools,2-Special education school,21-Suburb: Large,139,6,21,30,77,–,4,139,1,7.16,19.40
CENTREVILLE ELEMENTARY SCHOOL,Maryland,MD ,Centreville Elementary School,Queen Anne's County Public Schools,1-Regular school,31-Town: Fringe,522,2,40,22,426,–,32,522,–,16.84,31.00
CENTREVILLE MIDDLE SCHOOL,Maryland,MD ,Centreville Middle School,Queen Anne's County Public Schools,1-Regular school,41-Rural: Fringe,534,4,35,31,440,–,24,534,–,15.04,35.50
CENTURY HIGH,Maryland,MD ,Century High,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,1128,40,56,46,951,2,31,1128,2,18.49,61.00
CESAR CHAVEZ ELEMENTARY,Maryland,MD ,Cesar Chavez Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,322,4,196,90,29,1,1,322,1,13.22,24.36
CHADWICK ELEMENTARY,Maryland,MD ,Chadwick Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,642,249,84,270,27,1,7,642,4,16.89,38.00
CHAPEL DISTRICT ELEMENTARY,Maryland,MD ,Chapel District Elementary,Talbot County Public Schools,1-Regular school,42-Rural: Distant,383,6,28,16,314,–,19,383,–,14.70,26.06
CHAPEL FORGE EARLY CHILDHOOD CENTER,Maryland,MD ,Chapel Forge Early Childhood Center,Prince George's County Public Schools,2-Special education school,21-Suburb: Large,219,21,32,147,16,–,2,219,1,6.84,32.00
CHAPEL HILL ELEMENTARY,Maryland,MD ,Chapel Hill Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,676,141,23,94,386,–,32,676,–,17.20,39.30
CHARLES CARROLL BARRISTER ELEMENTARY,Maryland,MD ,Charles Carroll Barrister Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,338,14,125,139,56,1,1,338,2,14.08,24.00
CHARLES CARROLL MIDDLE,Maryland,MD ,Charles Carroll Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1307,14,823,429,33,2,5,1307,1,15.94,82.00
CHARLES H. CHIPMAN ELEMENTARY,Maryland,MD ,Charles H. Chipman Elementary,Wicomico County Public Schools,1-Regular school,13-City: Small,276,4,21,175,41,–,31,276,4,11.27,24.50
CHARLES HERBERT FLOWERS HIGH,Maryland,MD ,Charles Herbert Flowers High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,2186,30,150,1945,11,2,42,2186,6,19.18,114.00
CHARLESMONT ELEMENTARY,Maryland,MD ,Charlesmont Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,444,11,54,44,302,1,32,444,–,15.63,28.40
CHARLESTOWN ELEMENTARY,Maryland,MD ,Charlestown Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,235,–,5,30,184,1,15,235,–,12.91,18.20
CHASE ELEMENTARY,Maryland,MD ,Chase Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,404,2,37,104,204,–,54,404,3,16.63,24.30
CHATSWORTH SCHOOL,Maryland,MD ,Chatsworth School,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,380,20,21,175,143,1,19,380,1,11.34,33.50
CHEROKEE LANE ELEMENTARY,Maryland,MD ,Cherokee Lane Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,551,19,431,80,11,1,8,551,1,14.59,37.76
CHERRY HILL MIDDLE,Maryland,MD ,Cherry Hill Middle,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,456,5,53,51,321,–,26,456,–,11.07,41.20
CHESAPEAKE BAY MIDDLE,Maryland,MD ,Chesapeake Bay Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1027,11,55,44,869,1,41,1027,6,13.50,76.08
CHESAPEAKE CHARTER SCHOOL,Maryland,MD ,Chesapeake Charter School,St. Mary's County Public Schools,1-Regular school,23-Suburb: Small,440,18,23,31,318,–,50,440,–,13.75,32.00
CHESAPEAKE CITY ELEMENTARY,Maryland,MD ,Chesapeake City Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,347,–,17,5,308,1,16,347,–,17.53,19.80
CHESAPEAKE HIGH,Maryland,MD ,Chesapeake High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,981,11,97,534,275,3,57,981,4,14.53,67.50
CHESAPEAKE HIGH,Maryland,MD ,Chesapeake High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1379,23,85,66,1148,4,49,1379,4,16.32,84.50
CHESAPEAKE MATH AND IT PUBLIC CHARTER,Maryland,MD ,Chesapeake Math and IT Public Charter,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1618,76,129,1309,62,5,31,1618,6,17.21,94.00
CHESAPEAKE MATH AND IT SOUTH PUBLIC CHARTER,MARYLAND,MD ,Chesapeake Math and IT South Public Charter,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1183,17,21,1113,12,3,12,1183,5,17.14,69.00
CHESAPEAKE SCIENCE POINT,Maryland,MD ,Chesapeake Science Point,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,463,75,40,180,134,2,31,463,1,15.97,29.00
CHESAPEAKE TERRACE ELEMENTARY,Maryland,MD ,Chesapeake Terrace Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,316,1,11,6,287,–,7,316,4,15.27,20.70
CHEVY CHASE ELEMENTARY,Maryland,MD ,Chevy Chase Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,452,38,54,84,240,–,36,452,–,19.32,23.40
CHILLUM ELEMENTARY,Maryland,MD ,Chillum Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,369,2,211,144,6,–,3,369,3,12.81,28.80
CHOPTANK ELEMENTARY SCHOOL,Maryland,MD ,Choptank Elementary School,Dorchester County Public Schools,1-Regular school,32-Town: Distant,392,–,53,262,49,–,27,392,1,13.29,29.50
CHOPTICON HIGH,Maryland,MD ,Chopticon High,St. Mary's County Public Schools,1-Regular school,42-Rural: Distant,1679,15,62,149,1381,–,65,1679,7,22.39,75.00
CHURCH CREEK ELEMENTARY,Maryland,MD ,Church Creek Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,738,22,54,280,314,1,65,738,2,16.06,45.95
CHURCH HILL ELEMENTARY SCHOOL,Maryland,MD ,Church Hill Elementary School,Queen Anne's County Public Schools,1-Regular school,42-Rural: Distant,271,2,25,20,203,–,21,271,–,12.55,21.60
CHURCH LANE ELEMENTARY,Maryland,MD ,Church Lane Elementary Technology,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,386,7,24,337,9,–,7,386,2,15.76,24.50
CHURCHVILLE ELEMENTARY,Maryland,MD ,Churchville Elementary,Harford County Public Schools,1-Regular school,41-Rural: Fringe,393,–,10,16,343,–,23,393,1,16.01,24.55
CITY NEIGHBORS CHARTER SCHOOL,Maryland,MD ,City Neighbors Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,232,–,2,139,86,–,5,232,–,16.00,14.50
CITY NEIGHBORS HAMILTON,Maryland,MD ,City Neighbors Hamilton,Baltimore City Public Schools,1-Regular school,11-City: Large,235,3,12,115,90,–,14,235,1,15.16,15.50
CITY NEIGHBORS HIGH,Maryland,MD ,City Neighbors High,Baltimore City Public Schools,1-Regular school,11-City: Large,417,–,14,374,22,–,4,417,3,16.68,25.00
CITY SPRINGS ELEMENTARY/MIDDLE,Maryland,MD ,City Springs Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,704,–,11,676,13,–,2,704,2,19.13,36.80
CLAREMONT SCHOOL,Maryland,MD ,Claremont School,Baltimore City Public Schools,2-Special education school,11-City: Large,58,–,2,54,2,–,–,58,–,4.14,14.00
CLARKSBURG ELEMENTARY,Maryland,MD ,Clarksburg Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,529,199,74,122,91,–,41,529,2,18.18,29.10
CLARKSBURG HIGH,Maryland,MD ,Clarksburg High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,2338,476,626,672,459,1,101,2338,3,17.34,134.80
